money,ways,nodes
# Denominations: 5, 11, 23, 113, 251

1,0,11
2,0,11
3,0,11
4,0,11
5,1,11
6,0,13
7,0,13
8,0,13
9,0,13
10,1,13
11,1,15
12,0,19
13,0,19
14,0,19
15,1,19
16,1,21
17,0,23
18,0,23
19,0,23
20,1,23
21,1,25
22,1,27
23,1,31
24,0,37
25,1,37
26,1,39
27,1,41
28,1,43
29,0,45
30,1,45
31,1,47
32,1,49
33,2,51
34,1,57
35,1,61
36,1,63
37,1,65
38,2,67
39,1,71
40,1,73
41,1,75
42,1,77
43,2,79
44,2,83
45,2,89
46,2,95
47,1,103
48,2,105
49,2,109
50,2,113
51,2,117
52,1,121
53,2,123
54,2,127
55,3,131
56,3,139
57,2,147
58,2,153
59,2,157
60,3,161
61,3,167
62,2,173
63,2,177
64,2,181
65,3,185
66,4,191
67,3,201
68,3,209
69,3,217
70,3,227
71,4,233
72,3,241
73,3,247
74,3,253
75,3,259
76,4,265
77,4,273
78,4,283
79,4,293
80,4,303
81,4,313
82,4,321
83,4,329
84,4,337
85,4,345
86,4,353
87,4,361
88,5,369
89,5,381
90,5,393
91,5,405
92,5,417
93,5,431
94,5,441
95,5,451
96,5,461
97,5,471
98,5,481
99,6,491
100,6,505
101,6,519
102,6,533
103,6,547
104,6,561
105,6,573
106,6,585
107,6,597
108,6,609
109,6,621
110,7,633
111,7,649
112,7,665
113,8,681
114,7,705
115,8,721
116,7,741
117,7,755
118,8,769
119,7,785
120,8,799
121,8,815
122,8,833
123,9,851
124,9,871
125,9,893
126,9,913
127,8,933
128,9,949
129,9,967
130,9,985
131,9,1003
132,9,1021
133,10,1041
134,10,1063
135,11,1085
136,11,1111
137,10,1139
138,11,1161
139,10,1187
140,11,1207
141,11,1229
142,10,1251
143,12,1271
144,11,1297
145,12,1321
146,13,1347
147,12,1377
148,13,1405
149,12,1433
150,12,1459
151,13,1483
152,12,1509
153,13,1533
154,13,1559
155,13,1587
156,14,1615
157,14,1645
158,15,1677
159,15,1711
160,14,1747
161,15,1777
162,14,1811
163,15,1839
164,15,1869
165,15,1899
166,16,1931
167,15,1965
168,17,1997
169,17,2035
170,17,2073
171,17,2111
172,16,2147
173,17,2181
174,17,2215
175,17,2249
176,18,2283
177,17,2321
178,18,2357
