money,ways,nodes

1,1,11
2,1,13
3,1,15
4,1,17
5,2,19
6,2,25
7,2,29
8,2,33
9,2,37
10,4,41
11,4,55
12,4,63
13,4,71
14,4,79
15,6,87
16,6,103
17,6,115
18,6,127
19,6,139
20,9,151
21,9,177
22,9,195
23,9,213
24,9,231
25,13,249
26,13,287
27,13,313
28,13,339
29,13,365
30,18,391
31,18,439
32,18,475
33,18,511
34,18,547
35,24,583
36,24,645
37,24,693
38,24,741
39,24,789
40,31,837
41,31,915
42,31,977
43,31,1039
44,31,1101
45,39,1163
46,39,1259
47,39,1337
48,39,1415
49,39,1493
50,50,1571
51,50,1705
52,50,1805
53,50,1905
54,50,2005
55,62,2105
56,62,2255
57,62,2379
58,62,2503
59,62,2627
60,77,2751
61,77,2941
62,77,3095
63,77,3249
64,77,3403
65,93,3557
66,93,3777
67,93,3963
68,93,4149
69,93,4335
70,112,4521
71,112,4789
72,112,5013
73,112,5237
74,112,5461
75,134,5685
76,134,6007
77,134,6275
78,134,6543
79,134,6811
80,159,7079
81,159,7453
82,159,7771
83,159,8089
84,159,8407
85,187,8725
86,187,9161
87,187,9535
88,187,9909
89,187,10283
90,218,10657
91,218,11161
92,218,11597
93,218,12033
94,218,12469
95,252,12905
96,252,13483
97,252,13987
98,252,14491
99,252,14995
100,292,15499
